title,objectid,filename,title-es,creator,description-en,description-es,date,locations_en,locations_es,location_first_en,location_first_es,latitude_first,longitude_first,location_second_en,location_second_es,latitude_second,longitude_second,location_third_en,location_third_es,latitude_third,longitude_third,location_fourth_en,location_fourth_es,latitude_fourth,longitude_fourth,subject-en,subject-es,language,source,format,type,rights,rightsstatement,vimeoid,youtubeid,gender-strategy,LND_or_LNI,university-collection,parentid,image_thumb,embedding_webpage
¿QUÉ SON LAS PERSONAS NO BINARIAS?,maricocarmona1,,¿QUÉ SON LAS PERSONAS NO BINARIAS?,Infobae;Marico Carmona,Short video introducing non-binary language in Spanish and non-binary people.,,2022,Argentina,Argentina,Argentina,Argentina,-34.6069527537592,-58.3946012217565,,,,,,,,,,,,,Pedagogical Material,Material pedagógico,Spanish,Youtube,video/mp4,Video,open-access,,,P4wfvuD5xmY,letra-e,Direct Non-Binary Spanish,,,,
Narrativas no binarias: Testimonios de identidades por fuera del binario heterocisexista y sus interseccionalidades.,narrativasnobinarias,https://www.puntossuspensivosediciones.com.ar/productos/narrativas-no-binarias-testimonios-de-identidades-por-fuera-del-binario-heterocisexista-y-sus-interseccionalidades-florian-vives-comp1/?srsltid=AfmBOoplNTviJT6zR1o1-KBbVG7zgapQF5Def6RQLMUCK2SNbtS5lSig,Narrativas no binarias: Testimonios de identidades por fuera del binario heterocisexista y sus interseccionalidades.,Alas Alexis;Ama Boadiceas;capitanx cuir;Florián Vives (ed.);Kümelen Berti;Marcos Varela Dugo;Marlene Wayar;Nauhi Vega;Nói Urrutia-Nói Leber;SNC;Tegan Mai Guanco'Todes con DNI;Tuqui;Valentine Ayre Luy Machado;Violeta Alegre,Anthology containing texts made by trans and non-binary authors.,,2021,Argentina,Argentina,Argentina,Argentina,-34.6069527537592,-58.3946012217565,,,,,,,,,,,,,Poetry;Narrative,Poesía;Narrativa,Spanish,Puntos Suspensivos Ediciones,application/html,Book,copyrighted,,,,letra-x;letra-e,Direct Non-Binary Spanish;Indirect Non-Binary Spanish,,,https://acdn-us.mitiendanube.com/stores/001/214/071/products/narr-tapa11-0c5b5c734cc194670a16364631780870-1024-1024.jpg,
Furia travesti: diccionario de la T a la T,furiatravesti,https://traficantes.net/libros/furia-travesti,Furia travesti: diccionario de la T a la T,Marlene Wayar,Autotheory book experimenting with travesti epistemologies.,,2021,Argentina,Argentina,Argentina,Argentina,-34.6069527537592,-58.3946012217565,,,,,,,,,,,,,Autobiography;Autotheory;Narrative;Manifesto,Autobiografía;Autoteoría;Narrativa;Manifiesto,Spanish,,application/html,Book,copyrighted,,,,letra-e,Direct Non-Binary Spanish;Indirect Non-Binary Spanish,,,https://acdn-us.mitiendanube.com/stores/895/946/products/furia-tra1-c468f37ffd538ae28116360338450369-1024-1024.jpg,
Historia de la monja alférez,lamonjaalferez,https://www.cervantesvirtual.com/obra-visor/historia-de-la-monja-alferez/html/ff38d5be-82b1-11df-acc7-002185ce6064_10.html,Historia de la monja alférez,Antonio de Erauso,"Memoir by the lieutenant Erauso, who lived as a nun before becoming a lieutenant. Erauso shift between the use of masculine and feminine grammatical gender to encompass their gender experience in Latin America. At times, Erauso completely ommits gender markers, shaping language to represent themselves. ",,1626,Spain,Spain,Spain,Spain,18.8354,-96.3964,,,,,,,,,,,,,Colonial Production;Narrative,Producción colonial;Narrativa,Spanish,,application/html,Book,public domain,,,,,Indirect Non-Binary Spanish,,,https://www.cervantesvirtual.com/s3/BVMC_OBRAS/ff3/8d5/be8/2b1/11d/fac/c70/021/85c/e60/64/mimes/imagenes/ff38d5be-82b1-11df-acc7-002185ce6064_2.jpg,
Mapa mundi del reino de las indias,mapamundi,objects/Mapamundi.pdf,Mapa mundi del reino de las indias,Felipe Guamán Poma de Ayala,"Colonial map of Cusco, Peru (center of the Inca empire) from a mostly Andean cosmological perspective revealing complimentary depictions of personhood. The map supposedly has a gendered reading where there is an ""underworld"" of gender and sexual ambivalence, which has been described as lo masculino femenino and lo femenino masculino.",,1615,Peru,Peru,Peru,Peru,-13.532,-71.9675,,,,,,,,,,,,,Colonial Production;Map,Producción colonial;Mapa,Spanish,,application/pdf,Book,public domain,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/70/Dibujo_344._Mapa_Mundi_de_las_Indias_del_Perú%2C_con_la_división_cuatripartita_del_imperio_incaico_del_Tawantinsuyu.jpg,
Vocabulario en la lengua castellana y mechuacana,michoacana,objects/Michocana.pdf,Vocabulario en la lengua castellana y mechuacana,Maturino Gylberti,"Full text <a href=""https://primeroslibros.org/spotlight/primeros-libros-de-las-americas/catalog/faa2d9ca781242ec92dc6326db024d6c"">here</a>. Colonial dictionary of Michoacana written by a Spanish friar that describes the binary imposition placed on gendered bodies who supposedly display different gendered and/or presentational variations, as seen in the items ""muger varonil,"" ""muger que lo haze a otra,"" and ""ombre de grá nariz"".",,1558,Mexico,Mexico,Mexico,Mexico,19.5665,-101.7068,,,,,,,,,,,,,Colonial Production;Dictionary,Producción colonial;Diccionario,"Spanish, Michoacana",Primeros Libros,application/pdf,Book,public domain,,,,,,,,https://curio.lib.utexas.edu/assets/DAMS/pl/pl_7046b282-1324-45c6-b439-56eae953d5e5/TN/pl_7046b282-1324-45c6-b439-56eae953d5e5.jpg,
Vocabulario en lengua misteca,mixteco,objects/Mixteco.pdf,Vocabulario en lengua misteca,Francisco de Alvarado,"Full text <a href=""https://primeroslibros.org/spotlight/primeros-libros-de-las-americas/catalog/1150e8a34ec022a368a28ce3a4077d19"">here</a>. Colonial dictionary of the Mixteco language written by Spanish friars that demonstrates more evidence of the categorization of Indigenous people along binary gendered dimensions, as in the items ""mujer casta"" and ""muger carnal"". ",,1593,Mexico,Mexico,Mexico,Mexico,17.0732,-96.7266,,,,,,,,,,,,,Colonial Production;Dictionary,Producción colonial;Diccionario,"Spanish, Mixteco",Primeros Libros,application/pdf,Book,public domain,,,,,,,,https://curio.lib.utexas.edu/assets/DAMS/pl/pl_799941a8-7f91-49ac-b83a-620e63431a64/TN/pl_799941a8-7f91-49ac-b83a-620e63431a64.jpg,
Sexismo y lenguaje,meseguer,objects/GarciaMeseguer.pdf,Sexismo y lenguaje,Álvaro García Meseguer,"Early short essay from a Spanish engineer proposing the use of the -e morpheme for a new linguistic gender corresponding to 'person', including examples of its usage as attested in the present day.",,1976,Spain,Spain,Spain,Spain,40.4737,-3.8684,,,,,,,,,,,,,Academic Work,Trabajo académico,Spanish,,application/pdf,Book,open-access,,,,letra-e,Direct Non-Binary Spanish,,,https://raw.githubusercontent.com/eugestumm/gender-inclusive-spanish-digital-archive/d671828042b50cc105601afe22347013991ca546/objects/GarciaMeseguer.jpg,
Nota al uso del lenguaje,grupoanarquistapirexia,objects/GrupoAnarquistaPirexia.pdf,Nota al uso del lenguaje,Grupo Anarquista Pirexia,"Manifesto by the Spanish anarchist group Pirexia describing their logic behind the use of gender-inclusive language in their texts, discussing the pros and cons of possible gender-inclusive alternatives, and establishing the use of the -e morpheme throughout their writings. ",,2010,Murcia;Spain,Murcia;Spain,Murcia,Murcia,-34.61315,-58.37723,Spain,Spain,,,,,,,,,,,Manifesto,Manifiesto,Spanish,,application/pdf,Book,open-access,,,,arroba;letra-x,Direct Non-Binary Spanish,,,https://raw.githubusercontent.com/eugestumm/gender-inclusive-spanish-digital-archive/4a20e1920d525cc7195f1f7d9f9fb8196afb037b/objects/GrupoAnarquistaPirexia.jpg,
Proposición X. Género y sexo en el lenguaje escrito,laraicaza,objects/LaraIcaza.pdf,Proposición X. Género y sexo en el lenguaje escrito,Garazi Lara Icaza,"Full text <a href=""https://repositorio.ciem.ucr.ac.cr/jspui/bitstream/123456789/274/1/RCIEM240.pdf"">here</a>. Master's thesis in Fine Arts that describes the use of the -x as a transfeminist artistic proposal to undermine the rigidity of the gender binary. ",,2014,Spain,Spain,Spain,Spain,40.4454,-3.7299,,,,,,,,,,,,,Manifesto,Manifiesto,Spanish,,application/pdf,Book,open-access,,,,letra-x,Direct Non-Binary Spanish,,,https://raw.githubusercontent.com/eugestumm/gender-inclusive-spanish-digital-archive/1624d40308b6aa32b43912b98925076665bd5dd8/objects/Proposicio%CC%81nX.jpg,
